,Target Name,"Target, Subunit, Species",Target Mutant/Chimera Details,Target Species (Bioactivity),Substance Action on Target,Substance Effect,Bioassay Category,Bioassay Name,Bioassay Details,Biological Species/NCBI ID,Medchem: Measurement Parameter,Unit,Qualitative value,Quantitative value,References,Canomical_Smiles,pChEMBL
2144,ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human]:Wild,human,NaN,NaN,In Vitro (Efficacy),NaN,"In vitro inhibitory concentration of the compound (dissolved in 2.5 % DMSO) against baculovirus expressed human Anaplastic lymphoma kinase upon incubation with 20 mM HEPES buffer, pH 7.2, for 1 hour at 37 degree C using 10 ug/mL recombinant PLC-gamma/GST substrate in presence of 1 uM ATP by Time resolved fluorescence (TRF) assay",human,IC50,nM,=,67.0,"Article; Breslin, Henry J.; Lane, Brandon M.; Ott, Gregory R.; Ghose, Arup K.; Angeles, Thelma S.; Albom, Mark S.; Cheng, Mangeng; Wan, Weihua; Haltiwanger, R. Curtis; Wells-Knecht, Kevin J.; Dorsey, Bruce D.; Journal of Medicinal Chemistry; vol. 55; 1; (2012); p. 449 - 464;",CN1CCN(c2ccc(Nc3ncc(Cl)c(Nc4ccccc4)n3)cc2)CC1,1
2036,ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human]:Wild,human,Inhibitor,inhibitory activity,In Vitro (Efficacy),NaN,"Inhibitory concentration of compound against human ALK using 250 uM KKKSPGEYVNIEFG as substrate in presence of 10 uM [GAMMA-33P]ATP upon incubation in 8 mM MOPS, pH 7.0 at RT for 40 mins",NaN,IC50,nM,=,69.0,Patent; CALITOR SCIENCES LLC; SHENZHEN DONGYANGGUANG INDUSTRIAL DEVELOPMENT CO LTD; WO2015/34729; (2015); A1;,CC(Oc1cc(-c2ccc(C3(O)CCNCC3)nc2)cnc1N)c1c(Cl)cccc1Cl,1
1847,ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human]:Wild,human,Inhibitor,NaN,In Vitro (Efficacy),NaN,"Inhibitory concentration of the compound against recombinant human Anaplastic lymphoma kinase (0.25 nM) using 0.5 uM biotinylated peptide substrate (Biotin-KKKGPWLEEEEEAYGWLDF-amide) upon incubation in presence of 90 uM ATP in 50 mM Tris, pH 7.8 for 2 hrs at 25 degree C by HTRF assay",human,IC50,nM,=,70.0,Patent; INCYTE CORP; US2009/286778; (2009); A1;,N#Cc1cccc(S(=O)(=O)Nc2ccc3cc2CCc2cccc(c2)Nc2ncc(Cl)c(n2)N3)c1.O=C(O)C(F)(F)F,1
1910,ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human]:Wild,human,Inhibitor,NaN,In Vitro (Efficacy),NaN,"Inhibitory concentration of the compound against recombinant human Anaplastic lymphoma kinase (0.25 nM) using 0.5 uM biotinylated peptide substrate (Biotin-KKKGPWLEEEEEAYGWLDF-amide) upon incubation in presence of 90 uM ATP in 50 mM Tris, pH 7.8 for 2 hrs at 25 degree C by HTRF assay",human,IC50,nM,=,76.0,Patent; INCYTE CORP; US2009/286778; (2009); A1;,Cc1ccccc1C(=O)Nc1ccc2cc1CCc1cccc(c1)Nc1ncc(Cl)c(n1)N2.O=C(O)C(F)(F)F,1
1827,ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human]:Wild,human,Inhibitor,NaN,In Vitro (Efficacy),NaN,"Inhibitory concentration of the compound against recombinant human Anaplastic lymphoma kinase (0.25 nM) using 0.5 uM biotinylated peptide substrate (Biotin-KKKGPWLEEEEEAYGWLDF-amide) upon incubation in presence of 90 uM ATP in 50 mM Tris, pH 7.8 for 2 hrs at 25 degree C by HTRF assay",human,IC50,nM,=,80.0,Patent; INCYTE CORP; US2009/286778; (2009); A1;,CC(C)S(=O)(=O)c1ccc2cc1Nc1nc(ncc1Cl)Nc1cccc(c1)CC2.O=C(O)C(F)(F)F,1
1916,ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human]:Wild,human,Inhibitor,NaN,In Vitro (Efficacy),NaN,"Inhibitory concentration of the compound against recombinant human Anaplastic lymphoma kinase (0.25 nM) using 0.5 uM biotinylated peptide substrate (Biotin-KKKGPWLEEEEEAYGWLDF-amide) upon incubation in presence of 90 uM ATP in 50 mM Tris, pH 7.8 for 2 hrs at 25 degree C by HTRF assay",human,IC50,nM,=,80.0,Patent; INCYTE CORP; US2009/286778; (2009); A1;,O=C(Nc1ccc2cc1CCc1cccc(c1)Nc1ncc(Cl)c(n1)N2)c1ccc(F)cc1.O=C(O)C(F)(F)F,1
2031,ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human]:Wild,human,Inhibitor,inhibitory activity,In Vitro (Efficacy),NaN,"Inhibitory concentration of compound against human ALK using 250 uM KKKSPGEYVNIEFG as substrate in presence of 10 uM [GAMMA-33P]ATP upon incubation in 8 mM MOPS, pH 7.0 at RT for 40 mins",NaN,IC50,nM,=,83.0,Patent; CALITOR SCIENCES LLC; SHENZHEN DONGYANGGUANG INDUSTRIAL DEVELOPMENT CO LTD; WO2015/34729; (2015); A1;,CC(Oc1cc(-c2ccc(C3(O)COCC3O)nc2)cnc1N)c1cc(Cl)ccc1C(F)(F)F,1
2220,ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human]:Wild,human,Inhibitor,NaN,In Vitro (Efficacy),NaN,"Inhibitory concentration of the compound against recombinant human Anaplastic lymphoma kinase (0.25 nM) using 0.5 uM biotinylated peptide substrate (Biotin-KKKGPWLEEEEEAYGWLDF-amide) upon incubation in presence of 90 uM ATP in 50 mM Tris, pH 7.8 for 2 hrs at 25 degree C by HTRF assay",human,IC50,nM,=,86.0,Patent; INCYTE CORP; US2009/286778; (2009); A1;,O=C(Nc1ccc2cc1CCc1cccc(c1)Nc1ncc(Cl)c(n1)N2)c1ccncc1.O=C(O)C(F)(F)F,1
2237,ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human]:Wild,human,Inhibitor,NaN,In Vitro (Efficacy),NaN,"Inhibitory concentration of the compound against recombinant human Anaplastic lymphoma kinase (0.25 nM) using 0.5 uM biotinylated peptide substrate (Biotin-KKKGPWLEEEEEAYGWLDF-amide) upon incubation in presence of 90 uM ATP in 50 mM Tris, pH 7.8 for 2 hrs at 25 degree C by HTRF assay",human,IC50,nM,=,91.0,Patent; INCYTE CORP; US2009/286778; (2009); A1;,NC(=O)N1CCN(c2cc(-c3cc4cc(c3)Nc3ncc(Cl)c(n3)Nc3cccc(c3)OCC4)ccn2)CC1.O=C(O)C(F)(F)F,1
1861,ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human]:Wild,human,NaN,NaN,In Vitro (Efficacy),NaN,"In vitro inhibitory concentration of the compound (dissolved in 2.5% DMSO) against human ALK upon incubation in presence of 1 uM ATP using 20 mM Hepes buffer , pH 7.2 for 15 min at 37 degree C",human,IC50,nM,=,91.0,"Article; Mesaros, Eugen F.; Thieu, Tho V.; Wells, Gregory J.; Zificsak, Craig A.; Wagner, Jason C.; Breslin, Henry J.; Tripathy, Rabindranath; Diebold, James L.; McHugh, Robert J.; Wohler, Ashley T.; Quail, Matthew R.; Wan, Weihua; Lu, Lihui; Huang, Zeqi; Albom, Mark S.; Angeles, Thelma S.; Wells-Knecht, Kevin J.; Aimone, Lisa D.; Cheng, Mangeng; Ator, Mark A.; Ott, Gregory R.; Dorsey, Bruce D.; Journal of Medicinal Chemistry; vol. 55; 1; (2012); p. 115 - 125;",C[C@H](O)CN1CCN(c2cc(F)c(Nc3ncc4ccc(-c5ccccc5N(C)S(C)(=O)=O)n4n3)cc2F)CC1,1
427,ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human]:Wild,human,NaN,NaN,In Vitro (Efficacy),NaN,"In vitro inhibitory concentration of the compound (dissolved in 2.5 % DMSO) against baculovirus expressed human Anaplastic lymphoma kinase upon incubation with 20 mM HEPES buffer, pH 7.2, for 1 hour at 37 degree C using 10 ug/mL recombinant PLC-gamma/GST substrate in presence of 1 uM ATP by Time resolved fluorescence (TRF) assay",human,IC50,nM,=,92.0,"Article; Breslin, Henry J.; Lane, Brandon M.; Ott, Gregory R.; Ghose, Arup K.; Angeles, Thelma S.; Albom, Mark S.; Cheng, Mangeng; Wan, Weihua; Haltiwanger, R. Curtis; Wells-Knecht, Kevin J.; Dorsey, Bruce D.; Journal of Medicinal Chemistry; vol. 55; 1; (2012); p. 449 - 464;",CN1CCN(c2ccc3cc2CCc2cccc(c2)Nc2nc(ncc2Cl)N3)CC1,1
1849,ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human]:Wild,human,Inhibitor,NaN,In Vitro (Efficacy),NaN,"Inhibitory concentration of the compound against recombinant human Anaplastic lymphoma kinase (0.25 nM) using 0.5 uM biotinylated peptide substrate (Biotin-KKKGPWLEEEEEAYGWLDF-amide) upon incubation in presence of 90 uM ATP in 50 mM Tris, pH 7.8 for 2 hrs at 25 degree C by HTRF assay",human,IC50,nM,=,95.0,Patent; INCYTE CORP; US2009/286778; (2009); A1;,CC(=O)Nc1ccc(C(=O)Nc2ccc3cc2CCc2cccc(c2)Nc2ncc(Cl)c(n2)N3)cc1.O=C(O)C(F)(F)F,1
1907,ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human]:Wild,human,Inhibitor,NaN,In Vitro (Efficacy),NaN,"Inhibitory concentration of the compound against recombinant human Anaplastic lymphoma kinase (0.25 nM) using 0.5 uM biotinylated peptide substrate (Biotin-KKKGPWLEEEEEAYGWLDF-amide) upon incubation in presence of 90 uM ATP in 50 mM Tris, pH 7.8 for 2 hrs at 25 degree C by HTRF assay",human,IC50,nM,=,96.0,Patent; INCYTE CORP; US2009/286778; (2009); A1;,O=C(Nc1ccc2cc1CCc1cccc(c1)Nc1ncc(Cl)c(n1)N2)c1ccccc1.O=C(O)C(F)(F)F,1
2041,ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human]:Wild,human,Inhibitor,inhibitory activity,In Vitro (Efficacy),NaN,"Inhibitory concentration of compound against human ALK using 250 uM KKKSPGEYVNIEFG as substrate in presence of 10 uM [GAMMA-33P]ATP upon incubation in 8 mM MOPS, pH 7.0 at RT for 40 mins",NaN,IC50,nM,=,98.0,Patent; CALITOR SCIENCES LLC; SHENZHEN DONGYANGGUANG INDUSTRIAL DEVELOPMENT CO LTD; WO2015/34729; (2015); A1;,C[C@@H](Oc1cc(-c2ccc([C@H]3CO[C@H]4[C@@H]3OC[C@H]4O)nc2)cnc1N)c1c(F)ccc(F)c1Cl,1
3139,ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human]:Wild,human,NaN,NaN,In Vitro (Efficacy),NaN,"Inhibitory concentration of the compound against Human wild-type Anaplastic lymphoma kinase (2 nM) expressed in SF9 cells using 1 uM BIOTIN-AHX-EQEDEPEGIYGVLF-OH as substrate in presence of 40 uM ATP upon incubation at RT for 90 min in 20 mM HEPES, pH 7.5 by Time resolved fluorescence energy transfer (TR-FRET) assay",human,IC50,µM,>=,0.1,Patent; AMGEN INC; WO2012/18668; (2012); A1;,CC(C)(C)OC(=O)N1CCC(n2/c(=N/C(=O)c3ccccc3)[nH]c3cnc(OCCN4CCCCC4)cc32)CC1,1
3138,ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human]:Wild,human,Inhibitor,NaN,In Vitro (Efficacy),NaN,"Inhibitory concentration of compound against wild type human Anaplastic lymphoma kinase expressed in SF9 cells in presence of 40 uM ATP using 1 uM Biotin-Ahx-EQEDEPEGIYGVLF-OH as substrate upon incubation in 20 mM HEPES, pH 7.5 at RT for 90 minutes by TR FRET assay",NaN,IC50,µM,>=,0.1,Patent; GLAXOSMITHKLINE PLC; WO2013/74518; (2013); A1;,CNCC(=O)N1CCC(n2/c(=N/C(=O)c3ccccc3)[nH]c3cnc(OCCN4CCCCC4)cc32)CC1,1
3083,ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human]:Wild,human,Inhibitor,NaN,In Vitro (Efficacy),NaN,"Inhibitory concentration of compound against wild type human Anaplastic lymphoma kinase expressed in SF9 cells in presence of 40 uM ATP using 1 uM Biotin-Ahx-EQEDEPEGIYGVLF-OH as substrate upon incubation in 20 mM HEPES, pH 7.5 at RT for 90 minutes by TR FRET assay",NaN,IC50,µM,>=,0.1,Patent; GLAXOSMITHKLINE PLC; WO2013/74518; (2013); A1;,COc1cc(C(=O)/N=c2\[nH]c3cnc(OCCN4CCCCC4)cc3n2[C@H]2CC[C@@H](C(=O)NC(C)C)CC2)ccc1F,1
3118,ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human]:Wild,human,Inhibitor,NaN,In Vitro (Efficacy),NaN,"Inhibitory concentration of compound against wild type human Anaplastic lymphoma kinase expressed in SF9 cells in presence of 40 uM ATP using 1 uM Biotin-Ahx-EQEDEPEGIYGVLF-OH as substrate upon incubation in 20 mM HEPES, pH 7.5 at RT for 90 minutes by TR FRET assay",NaN,IC50,µM,>=,0.1,Patent; GLAXOSMITHKLINE PLC; WO2013/74518; (2013); A1;,Cc1n[nH]c([C@H]2CC[C@@H](n3/c(=N/C(=O)c4cccc(F)c4)[nH]c4ccc(CO)cc43)CC2)n1,1
3085,ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human]:Wild,human,Inhibitor,NaN,In Vitro (Efficacy),NaN,"Inhibitory concentration of compound against wild type human Anaplastic lymphoma kinase expressed in SF9 cells in presence of 40 uM ATP using 1 uM Biotin-Ahx-EQEDEPEGIYGVLF-OH as substrate upon incubation in 20 mM HEPES, pH 7.5 at RT for 90 minutes by TR FRET assay",NaN,IC50,µM,>=,0.1,Patent; GLAXOSMITHKLINE PLC; WO2013/74518; (2013); A1;,O=C(/N=c1\[nH]c2cnc(OCCN3CCCCC3)cc2n1[C@H]1CC[C@@H](C(=O)N2CCNCC2)CC1)c1ccc(F)cc1,1
3086,ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human]:Wild,human,Inhibitor,NaN,In Vitro (Efficacy),NaN,"Inhibitory concentration of compound against wild type human Anaplastic lymphoma kinase expressed in SF9 cells in presence of 40 uM ATP using 1 uM Biotin-Ahx-EQEDEPEGIYGVLF-OH as substrate upon incubation in 20 mM HEPES, pH 7.5 at RT for 90 minutes by TR FRET assay",NaN,IC50,µM,>=,0.1,Patent; GLAXOSMITHKLINE PLC; WO2013/74518; (2013); A1;,CC(C)NC(=O)[C@H]1CC[C@@H](n2/c(=N/C(=O)N3CCOCC3)[nH]c3cnc(OCCN4CCCCC4)cc32)CC1,1
3088,ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human]:Wild,human,Inhibitor,NaN,In Vitro (Efficacy),NaN,"Inhibitory concentration of compound against wild type human Anaplastic lymphoma kinase expressed in SF9 cells in presence of 40 uM ATP using 1 uM Biotin-Ahx-EQEDEPEGIYGVLF-OH as substrate upon incubation in 20 mM HEPES, pH 7.5 at RT for 90 minutes by TR FRET assay",NaN,IC50,µM,>=,0.1,Patent; GLAXOSMITHKLINE PLC; WO2013/74518; (2013); A1;,CN1CCN(C(=O)[C@H]2CC[C@@H](n3/c(=N/C(=O)c4ccc(F)cc4)[nH]c4ccc(CN5CCOCC5)cc43)CC2)CC1,1
3116,ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human]:Wild,human,Inhibitor,NaN,In Vitro (Efficacy),NaN,"Inhibitory concentration of compound against wild type human Anaplastic lymphoma kinase expressed in SF9 cells in presence of 40 uM ATP using 1 uM Biotin-Ahx-EQEDEPEGIYGVLF-OH as substrate upon incubation in 20 mM HEPES, pH 7.5 at RT for 90 minutes by TR FRET assay",NaN,IC50,µM,>=,0.1,Patent; GLAXOSMITHKLINE PLC; WO2013/74518; (2013); A1;,CC(=O)[C@H]1CC[C@@H](n2/c(=N/C(=O)c3cccc(F)c3)[nH]c3ccc(CN4CCC(C(C)(C)O)CC4)cc32)CC1,1
3156,ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human]:Wild,human,NaN,NaN,In Vitro (Efficacy),NaN,"Inhibitory concentration of the compound against Human wild-type Anaplastic lymphoma kinase (2 nM) expressed in SF9 cells using 1 uM BIOTIN-AHX-EQEDEPEGIYGVLF-OH as substrate in presence of 40 uM ATP upon incubation at RT for 90 min in 20 mM HEPES, pH 7.5 by Time resolved fluorescence energy transfer (TR-FRET) assay",human,IC50,µM,>=,0.1,Patent; AMGEN INC; WO2012/18668; (2012); A1;,CC(C)(O)C1CCN(CCOc2cc3c(cn2)[nH]/c(=N\C(=O)c2cccc(F)c2)n3[C@H]2CC[C@@H](C(=O)N3C[C@@H]4C[C@H]3CN4)CC2)CC1,1
3110,ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human]:Wild,human,Inhibitor,NaN,In Vitro (Efficacy),NaN,"Inhibitory concentration of compound against wild type human Anaplastic lymphoma kinase expressed in SF9 cells in presence of 40 uM ATP using 1 uM Biotin-Ahx-EQEDEPEGIYGVLF-OH as substrate upon incubation in 20 mM HEPES, pH 7.5 at RT for 90 minutes by TR FRET assay",NaN,IC50,µM,>=,0.1,Patent; GLAXOSMITHKLINE PLC; WO2013/74518; (2013); A1;,CC(C)NC[C@H]1CC[C@@H](n2/c(=N/C(=O)c3ccc(F)cc3)[nH]c3ccc(CN4CCCCC4)cc32)CC1,1
3081,ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human]:Wild,human,Inhibitor,NaN,In Vitro (Efficacy),NaN,"Inhibitory concentration of compound against wild type human Anaplastic lymphoma kinase expressed in SF9 cells in presence of 40 uM ATP using 1 uM Biotin-Ahx-EQEDEPEGIYGVLF-OH as substrate upon incubation in 20 mM HEPES, pH 7.5 at RT for 90 minutes by TR FRET assay",NaN,IC50,µM,>=,0.1,Patent; GLAXOSMITHKLINE PLC; WO2013/74518; (2013); A1;,C=CCNS(=O)(=O)c1cccc(C(=O)/N=c2\[nH]c3cnc(OCCN4CCCCC4)cc3n2[C@H]2CC[C@@H](C(=O)NC(C)C)CC2)c1,1
3155,ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human]:Wild,human,Inhibitor,NaN,In Vitro (Efficacy),NaN,"Inhibitory concentration of compound against wild type human Anaplastic lymphoma kinase expressed in SF9 cells in presence of 40 uM ATP using 1 uM Biotin-Ahx-EQEDEPEGIYGVLF-OH as substrate upon incubation in 20 mM HEPES, pH 7.5 at RT for 90 minutes by TR FRET assay",NaN,IC50,µM,>=,0.1,Patent; GLAXOSMITHKLINE PLC; WO2013/74518; (2013); A1;,COC(=O)[C@H]1CC[C@@H](n2/c(=N/C(=O)c3cccc(C(F)(F)F)c3)[nH]c3ccc(CO)cc32)CC1,1
3141,ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human]:Wild,human,NaN,NaN,In Vitro (Efficacy),NaN,"Inhibitory concentration of the compound against Human wild-type Anaplastic lymphoma kinase (2 nM) expressed in SF9 cells using 1 uM BIOTIN-AHX-EQEDEPEGIYGVLF-OH as substrate in presence of 40 uM ATP upon incubation at RT for 90 min in 20 mM HEPES, pH 7.5 by Time resolved fluorescence energy transfer (TR-FRET) assay",human,IC50,µM,>=,0.1,Patent; AMGEN INC; WO2012/18668; (2012); A1;,C=CCNS(=O)(=O)c1cc(C(=O)Nc2nc3ccc(CO)cc3n2[C@H]2CC[C@@H](C(=O)OC)CC2)ccc1F,1
3172,ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human]:Wild,human,Inhibitor,NaN,In Vitro (Efficacy),NaN,"Inhibitory concentration of compound against wild type human Anaplastic lymphoma kinase expressed in SF9 cells in presence of 40 uM ATP using 1 uM Biotin-Ahx-EQEDEPEGIYGVLF-OH as substrate upon incubation in 20 mM HEPES, pH 7.5 at RT for 90 minutes by TR FRET assay",NaN,IC50,µM,>=,0.1,Patent; GLAXOSMITHKLINE PLC; WO2013/74518; (2013); A1;,CNC(=O)[C@]1(O)CC[C@H](n2/c(=N/C(=O)c3ccc(F)cc3)[nH]c3cnc(OCCN4CCCCC4)cc32)CC1,1
3068,ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human]:Wild,human,NaN,NaN,In Vitro (Efficacy),NaN,"Inhibitory concentration of the compound against Human wild-type Anaplastic lymphoma kinase (2 nM) expressed in SF9 cells using 1 uM BIOTIN-AHX-EQEDEPEGIYGVLF-OH as substrate in presence of 40 uM ATP upon incubation at RT for 90 min in 20 mM HEPES, pH 7.5 by Time resolved fluorescence energy transfer (TR-FRET) assay",human,IC50,µM,>=,0.1,Patent; AMGEN INC; WO2012/18668; (2012); A1;,O=C(Nc1nc2ccc(CO)cc2n1C12CC3CC(CC(C3)C1)C2)c1ccccc1,1
3070,ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human]:Wild,human,Inhibitor,NaN,In Vitro (Efficacy),NaN,"Inhibitory concentration of compound against wild type human Anaplastic lymphoma kinase expressed in SF9 cells in presence of 40 uM ATP using 1 uM Biotin-Ahx-EQEDEPEGIYGVLF-OH as substrate upon incubation in 20 mM HEPES, pH 7.5 at RT for 90 minutes by TR FRET assay",NaN,IC50,µM,>=,0.1,Patent; GLAXOSMITHKLINE PLC; WO2013/74518; (2013); A1;,CNS(=O)(=O)N1CCC(n2/c(=N/C(=O)c3ccccc3)[nH]c3cnc(OCCN4CCCCC4)cc32)CC1,1
3071,ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human]:Wild,human,NaN,NaN,In Vitro (Efficacy),NaN,"Inhibitory concentration of the compound against Human wild-type Anaplastic lymphoma kinase (2 nM) expressed in SF9 cells using 1 uM BIOTIN-AHX-EQEDEPEGIYGVLF-OH as substrate in presence of 40 uM ATP upon incubation at RT for 90 min in 20 mM HEPES, pH 7.5 by Time resolved fluorescence energy transfer (TR-FRET) assay",human,IC50,µM,>=,0.1,Patent; AMGEN INC; WO2012/18668; (2012); A1;,CC(C)S(=O)(=O)N1CCC(n2/c(=N/C(=O)c3ccccc3)[nH]c3cnc(OCCN4CCCCC4)cc32)CC1,1
3073,ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human]:Wild,human,NaN,NaN,In Vitro (Efficacy),NaN,"Inhibitory concentration of the compound against Human wild-type Anaplastic lymphoma kinase (2 nM) expressed in SF9 cells using 1 uM BIOTIN-AHX-EQEDEPEGIYGVLF-OH as substrate in presence of 40 uM ATP upon incubation at RT for 90 min in 20 mM HEPES, pH 7.5 by Time resolved fluorescence energy transfer (TR-FRET) assay",human,IC50,µM,>=,0.1,Patent; AMGEN INC; WO2012/18668; (2012); A1;,CCS(=O)(=O)N1CCC(n2/c(=N/C(=O)c3ccccc3)[nH]c3cnc(OCCN4CCCCC4)cc32)CC1,1
3075,ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human]:Wild,human,NaN,NaN,In Vitro (Efficacy),NaN,"Inhibitory concentration of the compound against Human wild-type Anaplastic lymphoma kinase (2 nM) expressed in SF9 cells using 1 uM BIOTIN-AHX-EQEDEPEGIYGVLF-OH as substrate in presence of 40 uM ATP upon incubation at RT for 90 min in 20 mM HEPES, pH 7.5 by Time resolved fluorescence energy transfer (TR-FRET) assay",human,IC50,µM,>=,0.1,Patent; AMGEN INC; WO2012/18668; (2012); A1;,COC(=O)Nc1nc2ccc(CN3CCCCC3)cc2n1[C@H]1CC[C@@H](C(=O)NC(C)C)CC1,1
3170,ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human]:Wild,human,NaN,NaN,In Vitro (Efficacy),NaN,"Inhibitory concentration of the compound against Human wild-type Anaplastic lymphoma kinase (2 nM) expressed in SF9 cells using 1 uM BIOTIN-AHX-EQEDEPEGIYGVLF-OH as substrate in presence of 40 uM ATP upon incubation at RT for 90 min in 20 mM HEPES, pH 7.5 by Time resolved fluorescence energy transfer (TR-FRET) assay",human,IC50,µM,>=,0.1,Patent; AMGEN INC; WO2012/18668; (2012); A1;,Cl.O=C(Nc1nc2ccc(CN3CCCCC3)cc2n1[C@H]1CC[C@@H](C(=O)O)CC1)c1ccc(F)cc1,1
3143,ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human]:Wild,human,Inhibitor,NaN,In Vitro (Efficacy),NaN,"Inhibitory concentration of compound against wild type human Anaplastic lymphoma kinase expressed in SF9 cells in presence of 40 uM ATP using 1 uM Biotin-Ahx-EQEDEPEGIYGVLF-OH as substrate upon incubation in 20 mM HEPES, pH 7.5 at RT for 90 minutes by TR FRET assay",NaN,IC50,µM,>=,0.1,Patent; GLAXOSMITHKLINE PLC; WO2013/74518; (2013); A1;,COCCCNS(=O)(=O)c1cc(C(=O)Nc2nc3ccc(CO)cc3n2[C@H]2CC[C@@H](C(=O)OC)CC2)ccc1F,1
3077,ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human]:Wild,human,NaN,NaN,In Vitro (Efficacy),NaN,"Inhibitory concentration of the compound against Human wild-type Anaplastic lymphoma kinase (2 nM) expressed in SF9 cells using 1 uM BIOTIN-AHX-EQEDEPEGIYGVLF-OH as substrate in presence of 40 uM ATP upon incubation at RT for 90 min in 20 mM HEPES, pH 7.5 by Time resolved fluorescence energy transfer (TR-FRET) assay",human,IC50,µM,>=,0.1,Patent; AMGEN INC; WO2012/18668; (2012); A1;,C=CCNS(=O)(=O)c1cc(C(=O)Nc2nc3ccc(CN4CCCCC4)cc3n2[C@H]2CC[C@@H](C(=O)O)CC2)ccc1F,1
3079,ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human]:Wild,human,Inhibitor,NaN,In Vitro (Efficacy),NaN,"Inhibitory concentration of compound against wild type human Anaplastic lymphoma kinase expressed in SF9 cells in presence of 40 uM ATP using 1 uM Biotin-Ahx-EQEDEPEGIYGVLF-OH as substrate upon incubation in 20 mM HEPES, pH 7.5 at RT for 90 minutes by TR FRET assay",NaN,IC50,µM,>=,0.1,Patent; GLAXOSMITHKLINE PLC; WO2013/74518; (2013); A1;,COC(=O)[C@H]1CC[C@@H](n2/c(=N/C(=O)c3ccccc3)[nH]c3cnccc32)CC1,1
